Nome,advisor,link_adv
Isaac Newton,Isaac Barrow,https://en.wikipedia.org/wiki/Isaac_Barrow
Isaac Newton,Benjamin Pulleyn,https://en.wikipedia.org/wiki/Benjamin_Pulleyn
Albert Einstein,Alfred Kleiner,https://en.wikipedia.org/wiki/Alfred_Kleiner
Albert Einstein,Heinrich Friedrich Weber,https://en.wikipedia.org/wiki/Heinrich_Friedrich_Weber
Stephen Hawking,Dennis W. Sciama,https://en.wikipedia.org/wiki/Dennis_W._Sciama
Ronald Fisher,James Hopwood Jeans,https://en.wikipedia.org/wiki/James_Hopwood_Jeans
Ronald Fisher,F. J. M. Stratton,https://en.wikipedia.org/wiki/F._J._M._Stratton
Karl Pearson,Francis Galton,https://en.wikipedia.org/wiki/Francis_Galton
John Tukey,Solomon Lefschetz,https://en.wikipedia.org/wiki/Solomon_Lefschetz
Carl Friedrich Gauss,Johann Friedrich Pfaff,https://en.wikipedia.org/wiki/Johann_Friedrich_Pfaff
Leonhard Euler,Johann Bernoulli,https://en.wikipedia.org/wiki/Johann_Bernoulli
Paul Erdős,Lipót Fejér,https://en.wikipedia.org/wiki/Lip%C3%B3t_Fej%C3%A9r
Marie Curie,Gabriel Lippmann,https://en.wikipedia.org/wiki/Gabriel_Lippmann
Dmitri Mendeleev,Gustav Kirchhoff,https://en.wikipedia.org/wiki/Gustav_Kirchhoff
Alan Turing,Alonzo Church,https://en.wikipedia.org/wiki/Alonzo_Church
John von Neumann,Lipót Fejér,https://en.wikipedia.org/wiki/Lip%C3%B3t_Fej%C3%A9r
John von Neumann,László Rátz,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_R%C3%A1tz
John von Neumann,Gábor Szegő,https://en.wikipedia.org/wiki/G%C3%A1bor_Szeg%C5%91
John von Neumann,Michael Fekete,https://en.wikipedia.org/wiki/Michael_Fekete
John von Neumann,József Kürschák,https://en.wikipedia.org/wiki/J%C3%B3zsef_K%C3%BCrsch%C3%A1k
John von Neumann,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
John von Neumann,Erhard Schmidt,https://en.wikipedia.org/wiki/Erhard_Schmidt
John von Neumann,Hermann Weyl,https://en.wikipedia.org/wiki/Hermann_Weyl
John von Neumann,George Pólya,https://en.wikipedia.org/wiki/George_P%C3%B3lya
Dennis W. Sciama,Paul Dirac,https://en.wikipedia.org/wiki/Paul_Dirac
Mary F. Lyon,Ronald Fisher,https://en.wikipedia.org/wiki/Ronald_Fisher
Elizabeth Fisher (neuroscientist),Mary F. Lyon,https://en.wikipedia.org/wiki/Mary_F._Lyon
Elizabeth Fisher (neuroscientist),Stephen Brown,https://en.wikipedia.org/wiki/Stephen_D._M._Brown
Benoit Mandelbrot,Paul Lévy,https://en.wikipedia.org/wiki/Paul_L%C3%A9vy_(mathematician)
Bernhard Riemann,Carl Friedrich Gauss,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
Bernhard Riemann,Gotthold Eisenstein,https://en.wikipedia.org/wiki/Gotthold_Eisenstein
Bernhard Riemann,Moritz A. Stern,https://en.wikipedia.org/wiki/Moritz_Abraham_Stern
Bernhard Riemann,Carl W. B. Goldschmidt,https://en.wikipedia.org/wiki/Carl_Wolfgang_Benjamin_Goldschmidt
Gustav Kirchhoff,Franz Ernst Neumann,https://en.wikipedia.org/wiki/Franz_Ernst_Neumann
Gustav Kirchhoff,citation needed,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed
Christian Ludwig Gerling,Carl Friedrich Gauss,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
Roger Cotes,Isaac Newton,https://en.wikipedia.org/wiki/Isaac_Newton
Roger Cotes,Richard Bentley,https://en.wikipedia.org/wiki/Richard_Bentley
Stephen D. M. Brown,Gabriel Dover,https://en.wikipedia.org/wiki/Gabriel_Dover
Don Page (physicist),Kip Thorne,https://en.wikipedia.org/wiki/Kip_Thorne
