Nome,Ano_Nasc,Pais,Campo_Principal,link
Isaac Newton,1643.0,England,Physics,https://en.wikipedia.org/wiki/Isaac_Newton
Albert Einstein,1879.0,German Empire,Physics,https://en.wikipedia.org/wiki/Albert_Einstein
Stephen Hawking,1942.0,England,General relativity,https://en.wikipedia.org/wiki/Stephen_Hawking
Ronald Fisher,1890.0,England,Statistics,https://en.wikipedia.org/wiki/Ronald_Fisher
Karl Pearson,1857.0,England,Germanist,https://en.wikipedia.org/wiki/Karl_Pearson
John Tukey,1915.0,U.S.,Mathematician,https://en.wikipedia.org/wiki/John_Tukey
Carl Friedrich Gauss,1777.0,Holy Roman Empire,sciences,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
Leonhard Euler,1707.0,Swiss Confederacy,Mathematics,https://en.wikipedia.org/wiki/Leonhard_Euler
Paul Erdős,1913.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/Paul_Erd%C5%91s
Marie Curie,1867.0,Russian Empire[1],Physics,https://en.wikipedia.org/wiki/Marie_Curie
Dmitri Mendeleev,1834.0,Russian Empire,Chemistry,https://en.wikipedia.org/wiki/Dmitri_Mendeleev
Alfred Nobel,1833.0,Sweden,Chemistry,https://en.wikipedia.org/wiki/Alfred_Nobel
Alan Turing,1912.0,England,Logic,https://en.wikipedia.org/wiki/Alan_Turing
John von Neumann,1903.0,Austria-Hungary,Logic,https://en.wikipedia.org/wiki/John_von_Neumann
Dennis W. Sciama,1926.0,England,Gravitation,https://en.wikipedia.org/wiki/Dennis_W._Sciama
Mary F. Lyon,1925.0,England,Gravitation,https://en.wikipedia.org/wiki/Mary_F._Lyon
Elizabeth Fisher (neuroscientist),,BornElizabeth Mary Claire Fisher,Gravitation,https://en.wikipedia.org/wiki/Elizabeth_Fisher_(neuroscientist)
Benoit Mandelbrot,1924.0,Poland,Mathematics,https://en.wikipedia.org/wiki/Benoit_Mandelbrot
Bernhard Riemann,1826.0,Kingdom of Hanover (modern-day Germany),Mathematics,https://en.wikipedia.org/wiki/Bernhard_Riemann
Gustav Kirchhoff,1824.0,Russia),Physics,https://en.wikipedia.org/wiki/Gustav_Kirchhoff
Christian Ludwig Gerling,1788.0,Born(1788-07-10)10 July 1788Hamburg,Physicist,https://en.wikipedia.org/wiki/Christian_Ludwig_Gerling
Roger Cotes,1682.0,England,Mathematician,https://en.wikipedia.org/wiki/Roger_Cotes
Stephen D. M. Brown,1955.0,Scotland[8],Genetics,https://en.wikipedia.org/wiki/Stephen_D._M._Brown
Don Page (physicist),1948.0,United States,Theoretical physics,https://en.wikipedia.org/wiki/Don_Page_(physicist)
Christophe Galfard,1976.0,Born1976 (age 46–47),Theoretical physics,https://en.wikipedia.org/wiki/Christophe_Galfard
Johann Bernoulli,1667.0,Switzerland,Mathematics,https://en.wikipedia.org/wiki/Johann_Bernoulli
Eugene Wigner,1902.0,Austria-Hungary,Theoretical physics,https://en.wikipedia.org/wiki/Eugene_Wigner
David Hilbert,1862.0,Prussia,Mathematics,https://en.wikipedia.org/wiki/David_Hilbert
Alonzo Church,1903.0,US,Mathematics,https://en.wikipedia.org/wiki/Alonzo_Church
Oliver Dimon Kellogg,1878.0,US,Mathematics,https://en.wikipedia.org/wiki/Oliver_Dimon_Kellogg
Pierre Louis Maupertuis,1698.0,France,Mathematics,https://en.wikipedia.org/wiki/Pierre_Louis_Maupertuis
Bernard Carr,1698.0,France,Mathematics,https://en.wikipedia.org/wiki/Bernard_Carr
Max Dehn,1878.0,German Empire,Mathematics,https://en.wikipedia.org/wiki/Max_Dehn
Óscar Moreno,1878.0,Portugal,Medicine,https://en.wikipedia.org/wiki/%C3%93scar_Moreno
Stepan Rumovsky,1734.0,Russia,Medicine,https://en.wikipedia.org/wiki/Stepan_Rumovsky
William Boone (mathematician),1920.0,Ohio,Mathematics,https://en.wikipedia.org/wiki/William_Boone_(mathematician)
John D. Barrow,1952.0,England,Physics,https://en.wikipedia.org/wiki/John_D._Barrow
