Nome,student,link_std
Isaac Newton,Roger Cotes,https://en.wikipedia.org/wiki/Roger_Cotes
Isaac Newton,William Whiston,https://en.wikipedia.org/wiki/William_Whiston
Stephen Hawking,Bruce Allen,https://en.wikipedia.org/wiki/Bruce_Allen_(physicist)
Stephen Hawking,Raphael Bousso,https://en.wikipedia.org/wiki/Raphael_Bousso
Stephen Hawking,Bernard Carr,https://en.wikipedia.org/wiki/Bernard_Carr
Stephen Hawking,Fay Dowker,https://en.wikipedia.org/wiki/Fay_Dowker
Stephen Hawking,Christophe Galfard,https://en.wikipedia.org/wiki/Christophe_Galfard
Stephen Hawking,Gary Gibbons,https://en.wikipedia.org/wiki/Gary_Gibbons
Stephen Hawking,Thomas Hertog,https://en.wikipedia.org/wiki/Thomas_Hertog
Stephen Hawking,Raymond Laflamme,https://en.wikipedia.org/wiki/Raymond_Laflamme
Stephen Hawking,Don Page,https://en.wikipedia.org/wiki/Don_Page_(physicist)
Stephen Hawking,Malcolm Perry,https://en.wikipedia.org/wiki/Malcolm_Perry_(physicist)
Stephen Hawking,Christopher Pope,https://en.wikipedia.org/wiki/Christopher_Pope_(physicist)
Stephen Hawking,Marika Taylor,https://en.wikipedia.org/wiki/Marika_Taylor
Stephen Hawking,Alan Yuille,https://en.wikipedia.org/wiki/Alan_Yuille
Stephen Hawking,Wu Zhongchao,https://en.wikipedia.org/wiki/Wu_Zhongchao
Ronald Fisher,Walter Bodmer,https://en.wikipedia.org/wiki/Walter_Bodmer
Ronald Fisher,D. J. Finney,https://en.wikipedia.org/wiki/D._J._Finney
Ronald Fisher,Ebenezer Laing,https://en.wikipedia.org/wiki/Ebenezer_Laing
Ronald Fisher,Mary F. Lyon,https://en.wikipedia.org/wiki/Mary_F._Lyon
Ronald Fisher,C. R. Rao,https://en.wikipedia.org/wiki/C._R._Rao
Karl Pearson,Philip Hall,https://en.wikipedia.org/wiki/Philip_Hall
Karl Pearson,John Wishart,https://en.wikipedia.org/wiki/John_Wishart_(statistician)
Karl Pearson,Julia Bell,https://en.wikipedia.org/wiki/Julia_Bell
Karl Pearson,Nicholas Georgescu-Roegen,https://en.wikipedia.org/wiki/Nicholas_Georgescu-Roegen
John Tukey,David R. Brillinger,https://en.wikipedia.org/wiki/David_R._Brillinger
John Tukey,Kai Lai Chung,https://en.wikipedia.org/wiki/Kai_Lai_Chung
John Tukey,Arthur Dempster,https://en.wikipedia.org/wiki/Arthur_P._Dempster
John Tukey,Leo Goodman,https://en.wikipedia.org/wiki/Leo_Goodman
John Tukey,Karen Kafadar,https://en.wikipedia.org/wiki/Karen_Kafadar
John Tukey,Paul Meier,https://en.wikipedia.org/wiki/Paul_Meier_(statistician)
John Tukey,Frederick Mosteller,https://en.wikipedia.org/wiki/Frederick_Mosteller
John Tukey,John A. Hartigan,https://en.wikipedia.org/wiki/John_A._Hartigan
Carl Friedrich Gauss,Richard Dedekind,https://en.wikipedia.org/wiki/Richard_Dedekind
Carl Friedrich Gauss,Christian Ludwig Gerling,https://en.wikipedia.org/wiki/Christian_Ludwig_Gerling
Carl Friedrich Gauss,Wilhelm Klinkerfues,https://en.wikipedia.org/wiki/Wilhelm_Klinkerfues
Carl Friedrich Gauss,Johann Benedict Listing,https://en.wikipedia.org/wiki/Johann_Benedict_Listing
Carl Friedrich Gauss,Bernhard Riemann,https://en.wikipedia.org/wiki/Bernhard_Riemann
Carl Friedrich Gauss,August Ritter,https://en.wikipedia.org/wiki/August_Ritter_(civil_engineer)
Carl Friedrich Gauss,Karl von Staudt,https://en.wikipedia.org/wiki/Karl_von_Staudt
Carl Friedrich Gauss,Gotthold Eisenstein,https://en.wikipedia.org/wiki/Gotthold_Eisenstein
Carl Friedrich Gauss,Johann Franz Encke,https://en.wikipedia.org/wiki/Johann_Franz_Encke
Carl Friedrich Gauss,Carl Wolfgang Benjamin Goldschmidt,https://en.wikipedia.org/wiki/Carl_Wolfgang_Benjamin_Goldschmidt
Carl Friedrich Gauss,Adolph Theodor Kupffer,https://en.wikipedia.org/wiki/Adolph_Theodor_Kupffer
Carl Friedrich Gauss,August Ferdinand Möbius,https://en.wikipedia.org/wiki/August_Ferdinand_M%C3%B6bius
Carl Friedrich Gauss,Moritz Stern,https://en.wikipedia.org/wiki/Moritz_Stern
Carl Friedrich Gauss,Georg Frederik Ursin,https://en.wikipedia.org/wiki/Georg_Frederik_Ursin
Carl Friedrich Gauss,Moritz Ludwig Wichmann,https://en.wikipedia.org/wiki/Moritz_Ludwig_George_Wichmann
Leonhard Euler,Johann Hennert,https://en.wikipedia.org/wiki/Johann_Hennert
Leonhard Euler,Nicolas Fuss,https://en.wikipedia.org/wiki/Nicolas_Fuss
Leonhard Euler,Stepan Rumovsky,https://en.wikipedia.org/wiki/Stepan_Rumovsky
Leonhard Euler,Joseph-Louis Lagrange,https://en.wikipedia.org/wiki/Joseph-Louis_Lagrange
Leonhard Euler,Anders Johan Lexell,https://en.wikipedia.org/wiki/Anders_Johan_Lexell
Paul Erdős,Joseph Kruskal,https://en.wikipedia.org/wiki/Joseph_Kruskal
Paul Erdős,George B. Purdy,https://en.wikipedia.org/wiki/George_B._Purdy
Paul Erdős,Alexander Soifer,https://en.wikipedia.org/wiki/Alexander_Soifer
Paul Erdős,Béla Bollobás,https://en.wikipedia.org/wiki/B%C3%A9la_Bollob%C3%A1s
Marie Curie,André-Louis Debierne,https://en.wikipedia.org/wiki/Andr%C3%A9-Louis_Debierne
Marie Curie,Gioacchino Failla,https://en.wikipedia.org/wiki/Gioacchino_Failla
Marie Curie,Ladislas Goldstein,https://en.wikipedia.org/wiki/Ladislas_Goldstein
Marie Curie,Émile Henriot,https://en.wikipedia.org/wiki/%C3%89mile_Henriot_(chemist)
Marie Curie,Irène Joliot-Curie,https://en.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie
Marie Curie,Óscar Moreno,https://en.wikipedia.org/wiki/%C3%93scar_Moreno
Marie Curie,Marguerite Perey,https://en.wikipedia.org/wiki/Marguerite_Perey
Marie Curie,Francis Perrin,https://en.wikipedia.org/wiki/Francis_Perrin_(physicist)
Alan Turing,Robin Gandy,https://en.wikipedia.org/wiki/Robin_Gandy
Alan Turing,Beatrice Worsley,https://en.wikipedia.org/wiki/Beatrice_Worsley
John von Neumann,Donald B. Gillies,https://en.wikipedia.org/wiki/Donald_B._Gillies
John von Neumann,Israel Halperin,https://en.wikipedia.org/wiki/Israel_Halperin
John von Neumann,Friederich Mautner,https://en.wikipedia.org/wiki/Friederich_Ignaz_Mautner
John von Neumann,Eugene Wigner,https://en.wikipedia.org/wiki/Eugene_Wigner
John von Neumann,Paul Halmos,https://en.wikipedia.org/wiki/Paul_Halmos
John von Neumann,Peter Lax,https://en.wikipedia.org/wiki/Peter_Lax
John von Neumann,Benoit Mandelbrot,https://en.wikipedia.org/wiki/Benoit_Mandelbrot
Dennis W. Sciama,John D. Barrow,https://en.wikipedia.org/wiki/John_D._Barrow
Dennis W. Sciama,James Binney,https://en.wikipedia.org/wiki/James_Binney
Dennis W. Sciama,Philip Candelas,https://en.wikipedia.org/wiki/Philip_Candelas
Dennis W. Sciama,Brandon Carter,https://en.wikipedia.org/wiki/Brandon_Carter
Dennis W. Sciama,David Deutsch,https://en.wikipedia.org/wiki/David_Deutsch
Dennis W. Sciama,George Ellis,https://en.wikipedia.org/wiki/George_Francis_Rayner_Ellis
Dennis W. Sciama,Gary Gibbons,https://en.wikipedia.org/wiki/Gary_Gibbons
Dennis W. Sciama,Stephen Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking
Dennis W. Sciama,Adrian Melott,https://en.wikipedia.org/wiki/Adrian_Melott
Dennis W. Sciama,Martin Rees,https://en.wikipedia.org/wiki/Martin_Rees
Dennis W. Sciama,Antony Valentini,https://en.wikipedia.org/wiki/Antony_Valentini
Dennis W. Sciama,Tim Palmer,https://en.wikipedia.org/wiki/Tim_Palmer_(physicist)
Dennis W. Sciama,citation needed,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed
Mary F. Lyon,Elizabeth Fisher,https://en.wikipedia.org/wiki/Elizabeth_Fisher_(neuroscientist)
Benoit Mandelbrot,L-E. Calvet,https://en.wikipedia.org/wiki/Laurent-Emmanuel_Calvet
Benoit Mandelbrot,Eugene Fama,https://en.wikipedia.org/wiki/Eugene_Fama
Benoit Mandelbrot,Ken Musgrave,https://en.wikipedia.org/wiki/Ken_Musgrave
Benoit Mandelbrot,Murad Taqqu,https://en.wikipedia.org/wiki/Murad_Taqqu
Bernhard Riemann,Gustav Roch,https://en.wikipedia.org/wiki/Gustav_Roch
Bernhard Riemann,Eduard Selling,https://en.wikipedia.org/wiki/Eduard_Selling
Gustav Kirchhoff,Loránd Eötvös,https://en.wikipedia.org/wiki/Lor%C3%A1nd_E%C3%B6tv%C3%B6s
Gustav Kirchhoff,Edward Nichols,https://en.wikipedia.org/wiki/Edward_Leamington_Nichols
Gustav Kirchhoff,Gabriel Lippmann,https://en.wikipedia.org/wiki/Gabriel_Lippmann
Gustav Kirchhoff,citation needed,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed
Gustav Kirchhoff,Dmitri Ivanovich Mendeleev,https://en.wikipedia.org/wiki/Dmitri_Ivanovich_Mendeleev
Gustav Kirchhoff,Max Planck,https://en.wikipedia.org/wiki/Max_Planck
Gustav Kirchhoff,Jules Piccard,https://en.wikipedia.org/wiki/Jules_Piccard
Gustav Kirchhoff,Max Noether,https://en.wikipedia.org/wiki/Max_Noether
